fpl_hostname,fpl_letter,fpl_name,fpl_discmethod,fpl_controvflag,fpl_disc,fpl_orbper,fpl_orbpererr1,fpl_orbpererr2,fpl_orbperlim,fpl_smax,fpl_smaxerr1,fpl_smaxerr2,fpl_smaxlim,fpl_eccen,fpl_eccenerr1,fpl_eccenerr2,fpl_eccenlim,fpl_bmasse,fpl_bmasseerr1,fpl_bmasseerr2,fpl_bmasselim,fpl_bmassprov,fpl_rade,fpl_radeerr1,fpl_radeerr2,fpl_radelim,fpl_dens,fpl_denserr1,fpl_denserr2,fpl_denslim,fpl_eqt,fpl_eqterr1,fpl_eqterr2,fpl_eqtlim,fpl_insol,fpl_insolerr1,fpl_insolerr2,fpl_insollim,fpl_snum,ra_str,ra,dec_str,dec,fst_posreflink,fst_dist,fst_disterr1,fst_disterr2,fst_distlim,fst_optmag,fst_optmagerr,fst_optmaglim,fst_optmagband,fst_nirmag,fst_nirmagerr,fst_nirmaglim,fst_nirmagband,fst_spt,fst_teff,fst_tefferr1,fst_tefferr2,fst_tefflim,fst_logg,fst_loggerr1,fst_loggerr2,fst_logglim,fst_lum,fst_lumerr1,fst_lumerr2,fst_lumlim,fst_mass,fst_masserr1,fst_masserr2,fst_masslim,fst_rad,fst_raderr1,fst_raderr2,fst_radlim,fst_met,fst_meterr1,fst_meterr2,fst_metlim,fst_metratio,fst_age,fst_ageerr1,fst_ageerr2,fst_agelim
11 UMi,b,11 UMi b,Radial Velocity,0,2009,516.21997000,3.20000000,-3.20000000,0,1.530000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,4684.81420,794.57500,-794.57500,0,Msini,12.300,,,0,13.80000,,,0,,,,0,,,,0,1,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,125.72,1.97,-1.97,0,5.016,0.009,0,V (Johnson),1.939,0.270,0,Ks (2MASS),K4 III,4213.00,46.00,-46.00,0,1.93,0.07,-0.07,0,2.430,0.008,-0.008,0,2.78,0.69,-0.69,0,29.79,2.84,-2.84,0,-0.020,,,0,[Fe/H],1.560,0.540,-0.540,0
14 And,b,14 And b,Radial Velocity,0,2008,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,0.000000,,,0,1525.50000,,,0,Msini,12.900,,,0,3.90000,,,0,,,,,,,,,1,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,75.59,0.71,-0.71,0,5.227,0.009,0,V (Johnson),2.331,0.240,0,Ks (2MASS),G8 III,4813.00,20.00,-20.00,0,2.63,0.07,-0.07,0,1.763,,,0,2.20,0.10,-0.20,0,11.00,1.00,-1.00,0,-0.240,0.030,-0.030,0,[Fe/H],4.500,1.900,-1.900,0
14 Her,b,14 Her b,Radial Velocity,0,2002,1773.40002000,2.50000000,-2.50000000,0,2.930000,0.080000,-0.080000,0,0.370000,0.000000,0.000000,0,1481.08780,47.67450,-47.67450,0,Msini,12.900,,,0,3.79000,,,0,,,,0,,,,0,1,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,17.94,0.01,-0.01,0,6.610,0.020,0,V (Johnson),4.714,0.016,0,Ks (2MASS),K0 V,5338.00,25.00,-25.00,0,4.45,0.02,-0.02,0,-0.151,0.000,0.000,0,0.90,0.04,-0.04,0,0.93,0.01,-0.01,0,0.410,,,0,[Fe/H],5.240,,,0
1RXS J160929.1-210524,b,1RXS J160929.1-210524 b,Imaging,0,2008,,,,,330.000000,,,0,,,,,3000.00000,300.00000,-300.00000,0,Mass,18.647,,,0,2.54000,,,0,1700,100,-100,0,,,,,1,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,145.00,14.00,-14.00,0,12.057,,0,G (Gaia),8.916,0.021,0,Ks (2MASS),K7 V,4060.00,300.00,-200.00,0,,,,,-0.370,0.150,-0.150,0,0.85,0.20,-0.10,0,1.18,0.11,-0.14,0,,,,,,0.005,,,0
24 Boo,b,24 Boo b,Radial Velocity,0,2018,30.35060000,0.00780000,-0.00770000,0,0.190000,0.012000,-0.009000,0,0.042000,0.048000,-0.029000,0,289.22530,41.31790,-31.78300,0,Msini,13.900,,,0,0.59200,,,0,,,,0,,,,0,1,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,96.25,0.64,-0.64,0,5.580,,0,V (Johnson),3.159,0.280,0,Ks (2MASS),G3 IV,4893.00,15.00,-15.00,0,2.42,0.10,-0.10,0,1.774,0.047,-0.053,0,0.99,0.19,-0.13,0,10.64,0.84,-0.59,0,-0.770,0.030,-0.030,0,[Fe/H],6.920,4.830,-2.750,0
24 Sex,b,24 Sex b,Radial Velocity,0,2010,452.80000000,2.10000000,-4.50000000,0,1.333000,0.004000,-0.009000,0,0.090000,0.140000,-0.060000,0,632.46000,82.63000,-120.77000,0,Msini,13.400,,,0,1.44000,,,0,,,,,,,,,1,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,72.21,0.68,-0.68,0,6.441,0.010,0,V (Johnson),4.285,0.016,0,Ks (2MASS),K0 IV,5098.00,44.00,-44.00,0,3.50,0.10,-0.10,0,1.164,0.003,-0.003,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],2.700,0.400,-0.400,0
24 Sex,c,24 Sex c,Radial Velocity,0,2010,883.00000000,32.40000000,-13.80000000,0,2.080000,0.050000,-0.020000,0,0.290000,0.160000,-0.090000,0,273.32000,111.24000,-69.92000,0,Msini,13.900,,,0,0.55900,,,0,,,,,,,,,1,10h23m28.37s,155.868210,-00d54m08.1s,-0.902244,<a refstr=HIPPARCOS_AND_TYCHO_CATALOGS href=https://ui.adsabs.harvard.edu/abs/1997HIP...C......0E/abstract target=ref> Hipparcos and Tycho Catalogs </a>,72.21,0.68,-0.68,0,6.441,0.010,0,V (Johnson),4.285,0.016,0,Ks (2MASS),K0 IV,5098.00,44.00,-44.00,0,3.50,0.10,-0.10,0,1.164,0.003,-0.003,0,1.54,0.08,-0.08,0,4.90,0.08,-0.08,0,-0.030,0.040,-0.040,0,[Fe/H],2.700,0.400,-0.400,0
2MASS J01225093-2439505,b,2MASS J01225093-2439505 b,Imaging,0,2013,,,,,52.000000,6.000000,-6.000000,0,,,,,7786.50000,794.50000,-794.50000,0,Mass,11.209,,,0,30.40000,,,0,1600,100,-100,0,,,,,1,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,36.00,4.00,-4.00,0,14.240,0.070,0,V (Johnson),9.198,0.024,0,Ks (2MASS),M3.5 V,3530.00,50.00,-50.00,0,,,,,-1.720,0.110,-0.110,0,0.40,0.05,-0.05,0,,,,,,,,,,0.120,0.010,-0.010,0
2MASS J02192210-3925225,b,2MASS J02192210-3925225 b,Imaging,0,2015,,,,,156.000000,10.000000,-10.000000,0,,,,,4417.83700,349.61300,-349.61300,0,Mass,16.141,0.336,-0.336,0,5.77000,,,0,,,,,,,,,1,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,39.40,2.60,-2.60,0,15.012,,0,G (Gaia),10.404,0.023,0,Ks (2MASS),M6,3064.00,76.00,-76.00,0,4.59,0.06,-0.06,0,-2.230,0.060,-0.060,0,0.11,0.01,-0.01,0,0.28,0.01,-0.01,0,,,,,,0.035,0.005,-0.005,0
2MASS J04414489+2301513,b,2MASS J04414489+2301513 b,Imaging,0,2010,,,,,15.000000,,,0,,,,,2383.60000,794.50000,-794.50000,0,Mass,12.600,,,0,6.55000,,,0,,,,,,,,,1,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,<a refstr=2MASS_POINT_SOURCE_CATALOG href=https://ui.adsabs.harvard.edu/abs/2003tmc..book.....C/abstract target=ref> 2MASS Point Source Catalog </a>,140.00,,,0,18.967,,0,G (Gaia),13.161,0.025,0,Ks (2MASS),M8.5,,,,,,,,,,,,,0.02,,,0,,,,,,,,,,0.001,,,0
